"","ID","XCOO","YCOO","ELEV","COUN","ASP","GENLAN","TOPO","GROUNDVEG","TREELAY","VEG_ZONE","Date","SAMP","SPECIES","LITO","C_PAR","TOPC","WEATH","TEMP","Ag","Al","As","Au","B","Ba","Be","Bi","Ca","Cd","Co","Cr","Cu","Fe","Hg","K","La","Mg","Mn","Mo","Na","Ni","P","Pb","Pd","Pt","Rb","S","Sb","Sc","Se","Si","Sr","Th","Tl","U","V","Y","Zn"
"149",187,429728.7,7630616,300,"FIN","NW","PLAIN","CONVLOW","","","",950724,"MLRJARR","HSSC",51,"TILL",40,"DRY",14,0.023,92.1,0.122,1.04,3.22,21.5,0.015,0.006,3620,0.053,0.18,0.37,4.82,93.4,0.061,4610,0.35,1420,650,0.048,47.6,1.77,1530,1.59,0.2,0.2,12.1,963,0.026,0.05,0.4,68.8,10.7,0.01,0.016,0.002,0.72,0.05,37.4
"150",188,509015,7768635,210,"NOR","FLAT","RIDGE","FLAT","LICHEN","BIRCH","SHRUB_TUNDRA",950723,"OJGKTV","HSSC",51,"FLUVG",30,"MIX",8,0.02,313,0.16,0.36,2.39,9.77,0.015,0.002,2370,0.038,0.39,0.85,5.87,403,0.079,3850,0.35,1510,166,0.055,153,3.61,1330,1.59,0.36,0.1,4.22,920,0.026,0.05,0.4,218,9.58,0.016,0.008,0.005,1.33,0.05,37.5
"151",189,637900,7722450,170,"NOR","W","LOWMO","RUGLOW","SHRUBS","BIRCH","FOREST_TUNDRA",950801,"GKJHTV","PSSC",20,"TILL",43,"DRY",20,0.043,173,0.714,0.25,1.31,25.3,0.015,0.027,3120,0.157,3.99,2.64,70.3,955,0.087,6360,0.35,1100,608,0.068,51.1,117,1510,3.99,1.94,0.6,13.2,1170,0.049,0.05,0.4,270,9.29,0.017,0.025,0.011,1.98,0.05,32.7
"152",190,467320,7844450,80,"NOR","NW","SLOPE","CONVLOW","EMPETRUM","BIRCH","DWARF_SHRUB_TUNDRA",950715,"JHOJTV","HSSC",10,"TILL",43,"DRY",16,0.013,139,0.176,0.24,2.51,13.8,0.015,0.007,3300,0.048,0.22,0.36,3.72,205,0.093,3130,0.9,1260,152,0.13,171,1.5,802,2.54,0.21,0.1,1.39,797,0.038,0.05,0.4,301,11.7,0.042,0.013,0.35,1.04,0.2,18.3
"153",191,733948.4,7653303,180,"RUS","S","RIDGE","CONVLOW","MOSS","SPRBI","BOREAL_FOREST",950804,"Pavlov","HSSC",20,"TILL",32,"RAIN",11,0.072,290,0.274,0.32,1.76,22.8,0.015,0.049,2660,0.17,1.04,1.23,20.2,403,0.066,3850,0.35,905,384,0.137,255,23.5,1290,3.56,3.05,0.6,10.1,898,0.077,0.05,0.4,214,16,0.031,0.022,0.012,7.33,0.1,24.9
"154",192,627170.2,7690466,200,"RUS","W","RIDGE","CONCMED","MOSS","SPARCEBI","FOREST_TUNDRA",950825,"Semenov","PSSC",52,"TILL",43,"MIX",10,0.071,265,1.56,0.6,1.85,21.5,0.015,0.069,2720,0.341,6.47,3.38,111,1260,0.048,6620,0.35,1110,716,0.094,284,182,1440,6.32,3.13,0.9,9.66,1350,0.164,0.05,0.4,336,8.75,0.018,0.039,0.009,2.25,0.1,32
"155",193,790154.6,7527763,250,"RUS","NW","HIMO","CONCLOW","MOSS","SPRBI","BOREAL_FOREST",950726,"Pavlov","PSDR",82,"TILL",45,"DRY",20,0.073,883,0.199,0.3,0.81,26.3,0.06,0.043,2970,0.15,0.86,0.92,15.7,483,0.028,5720,3.7,851,243,0.141,201,18.4,1510,3.44,2.56,0.8,25.8,819,0.068,0.05,0.4,323,83.1,0.084,0.014,0.062,9.78,0.7,28.1
"156",196,543382.3,7585035,175,"FIN","NW","PLAIN","CONVLOW","MOSS","PINE","BOREAL_FOREST",950817,"MLRJARR","HSDC",31,"TILL",32,"DRY",18,0.024,139,0.134,1.21,1,13.5,0.015,0.01,2150,0.094,0.27,0.34,5.12,98.5,0.03,3840,0.35,1010,456,0.058,67.2,2.92,714,2.18,0.22,0.1,7.48,704,0.029,0.05,0.4,93.4,9.01,0.008,0.027,0.005,0.86,0.05,25.9
"157",197,585600,7733500,85,"NOR","FLAT","PLAIN","FLATTER","LICHEN","SPARCEBI","FOREST_TUNDRA",950727,"CRTF","PSDC",20,"FLUVG",123,"DRY",15,0.018,83.2,0.146,0.39,0.74,10.2,0.015,0.009,2050,0.075,0.48,0.52,7.29,164,0.032,4560,0.35,1020,388,0.041,82.4,9.49,1060,1.91,0.38,0.1,14.1,789,0.029,0.05,0.4,90.8,5.58,0.016,0.014,0.007,0.78,0.05,23.8
"158",198,372602.1,7403611,122,"FIN","W","RIDGE","CONCMED","MOSS","PIBI","BOREAL_FOREST",950607,"MARPMRL","HSSC",7,"TILL",48,"DRY",25,0.028,275,0.168,0.32,2.09,20.1,0.015,0.015,2760,0.09,0.22,1.63,4.49,335,0.092,3820,0.8,743,728,0.164,34.1,1.46,1060,4.94,0.71,0.3,21.4,833,0.049,0.05,0.4,212,5.11,0.082,0.091,0.025,2.16,0.1,30
"159",199,755941.1,7599147,190,"RUS","E","RIDGE","LOWBRLOW","CARLIN_HEATHER","BIPI","BOREAL_FOREST",950728,"Semenov","PSSC",20,"FLUVG",25,"MIX",20,0.183,313,0.385,0.59,0.97,26.5,0.015,0.078,2850,0.389,2.75,1.22,55.5,722,0.026,5740,0.35,1040,404,0.322,142,60,1300,5.07,8.73,1.5,9.92,864,0.077,0.05,0.4,273,18.8,0.039,0.016,0.041,4.21,0.1,22.8
"160",200,735486.6,7504650,180,"RUS","NE","RIDGE","LOWBRLOW","SHRUBS","PIBI","BOREAL_FOREST",950613,"Semenov","HSSC",1,"TILLSAP",40,"DRY",20,0.196,1030,0.637,0.65,3.62,43.3,0.11,0.132,6040,0.123,3.65,1.11,40.4,613,0.058,3790,2.6,839,172,0.289,109,77,829,3.61,12.8,2.5,10.4,1070,0.111,0.05,0.4,369,33.1,0.045,0.036,0.072,3.28,0.5,26
"161",201,701807.6,7714391,140,"RUS","FLAT","DEEPVAL","CONVLOW","LICHEN","BIRCH","DWARF_SHRUB_TUNDRA",950815,"Pavlov","HSSC",21,"MAR",39,"DRY",15,0.046,470,0.35,0.23,3.26,22.2,0.05,0.022,2950,0.063,1.33,1.87,23.9,689,0.062,3780,0.35,1200,120,0.139,258,38.5,1160,4.22,1.39,0.9,5.29,891,0.118,0.05,0.4,223,21.8,0.04,0.029,0.034,2.52,0.2,21.7
"162",202,817031.8,7638818,250,"RUS","FLAT","PLAIN","FLAT","LICHEN","BIRCH","DWARF_SHRUB_TUNDRA",950801,"Semenov","HSSC",4,"TILL",50,"MIX",18,0.048,148,0.147,0.18,1.49,10.4,0.015,0.018,1910,0.118,0.61,0.38,14.6,150,0.035,4650,0.35,1230,397,0.094,102,11.7,1430,2.29,1.79,0.4,11.7,823,0.056,0.05,0.4,142,9.19,0.028,0.009,0.012,2.08,0.05,34.1
"163",203,634125.9,7714766,100,"RUS","S","SLOPE","LOWBRMED","EMPETRUM","BIRCH","BOREAL_FOREST",950822,"Smirnov","PSSC",52,"TILL",48,"RAIN",8,0.146,326,2.19,1.2,3.04,49.9,0.015,0.076,5140,0.42,13.2,6.79,214,2550,0.104,7900,0.7,1560,625,0.129,212,372,2020,7.77,6.3,2,22.5,1800,0.324,0.05,0.4,359,13.5,0.028,0.041,0.014,3.49,0.05,53.1
"164",204,507247,7609275,210,"FIN","W","PLAIN","CONCLOW","","","",950613,"MRLMAJA","HSSC",31,"TILL&SAP",32,"DRY",20,0.028,186,0.197,0.16,1.67,18,0.015,0.015,2840,0.102,0.33,0.61,6.37,194,0.042,3150,0.35,1230,497,0.09,27.6,3.3,798,3.92,0.31,0.3,7.52,760,0.04,0.05,0.4,158,14.4,0.039,0.037,0.012,1.72,0.05,39.9
"165",205,417033.9,7479529,193,"FIN","SW","FLAT","CONCLOW","","","",950717,"VGMA","HSSC",7,"TILL",42,"DRY",20,0.019,191,0.133,0.17,0.71,18.6,0.015,0.017,2360,0.098,0.17,0.77,4.87,182,0.071,3340,0.35,715,646,0.134,33.8,1.57,1240,5.27,0.2,0.2,19.3,851,0.052,0.05,0.4,119,4.93,0.024,0.053,0.015,1.78,0.05,29.8
"166",206,540733.4,7517014,265,"FIN","FLAT","FLAT","FLAT","CARLIN_HEATHER","PINE","BOREAL_FOREST",950809,"RPAV","HSSC",1,"TILL",42,"RAIN",9,0.013,132,0.096,0.49,1,15.9,0.015,0.009,2680,0.065,0.16,0.43,3.88,120,0.053,3050,0.35,652,615,0.07,28.6,1.78,788,2.33,0.58,0.1,11.5,723,0.027,0.05,0.4,103,6.03,0.015,0.019,0.011,0.91,0.05,53.4
"167",207,552578.5,7599879,195,"FIN","SE","PLAIN","CONCLOW","","","",950714,"MLR","HSSC",31,"TILL",37,"DRY",12,0.022,134,0.168,0.13,1.02,18.6,0.015,0.017,2220,0.098,0.31,0.42,5.03,133,0.036,3230,0.35,961,577,0.06,37.3,3.13,1080,2.43,1.33,0.1,6.04,723,0.027,0.05,0.4,118,7.99,0.02,0.019,0.008,0.95,0.05,44.7
"168",208,392650,7760650,350,"NOR","FLAT","FLAT","FLAT","SHRUBS","BIRCH","FOREST_TUNDRA",950714,"JHOJTV","PSSC",10,"TILL",25,"DRY",11,0.019,115,0.072,0.14,1.53,33.4,0.015,0.005,2420,0.042,0.2,0.31,3.68,103,0.043,3830,0.35,1600,218,0.033,112,1.43,1070,3.38,0.16,0.1,6.18,771,0.039,0.05,0.4,90.2,12.1,0.01,0.008,0.009,0.8,0.05,31.6
"169",211,567072.6,7656606,160,"FIN","W","PLAIN","CONVLOW","","","",950819,"MLRJARR","HSSC",20,"TILL",37,"MIX",9,0.036,237,0.313,0.38,1.03,19.6,0.015,0.023,2780,0.092,0.65,0.78,10.8,259,0.057,3660,0.35,950,285,0.083,56.1,11.4,1080,3.49,0.38,0.1,11.8,843,0.039,0.05,0.4,199,6.18,0.021,0.113,0.015,1.68,0.05,38.9
"170",212,530080,7803860,220,"NOR","FLAT","RIDGE","UPBR","EMPETRUM","BIRCH","FOREST_TUNDRA",950724,"JHGKTV","PSSC",10,"TILL",33,"MIX",10,0.027,119,0.069,0.12,0.96,19,0.015,0.005,2340,0.046,0.23,0.35,4.74,114,0.029,5660,0.35,1310,658,0.04,107,3,1560,2.39,0.19,0.1,6.24,850,0.022,0.05,0.4,125,9,0.016,0.009,0.011,0.73,0.05,30.4
"171",213,405450,7751600,460,"NOR","FLAT","FLAT","FLAT","EMPETRUM","BIRCH","DWARF_SHRUB_TUNDRA",950714,"JHOJTV","HSSC",51,"TILL",58,"DRY",8,0.016,92.2,0.08,0.17,1.53,15.1,0.015,0.005,2690,0.035,0.2,0.29,3.57,104,0.052,4520,0.35,1270,381,0.035,50.3,1.96,1360,1.51,0.14,0.1,6.48,807,0.022,0.05,0.4,89.5,3.12,0.01,0.014,0.004,0.51,0.05,41.4
"172",214,590200,7665700,70,"RUS","SW","PLAIN","TOP","LICHEN","BIRCH","BOREAL_FOREST",950824,"Smirnov","HSDC",20,"TILL",32,"DRY",15,0.025,121,0.225,0.25,1.35,14.8,0.015,0.01,2630,0.095,0.51,0.53,8.66,202,0.058,4270,0.35,998,363,0.043,89.3,9.76,1280,1.6,0.31,0.1,6.2,851,0.02,0.05,0.4,121,8.2,0.016,0.014,0.006,0.79,0.05,27.5
"173",216,438600,7692850,355,"NOR","FLAT","LOWMO","FLAT","EMPETRUM","BIRCH","FOREST_TUNDRA",950718,"JHPCTF","PSSR",51,"TILL",35,"MIX",13,0.024,94.6,0.081,0.53,0.7,12.8,0.015,0.008,2310,0.059,0.17,0.27,3.13,68.1,0.031,4950,0.35,956,421,0.029,49,1.78,1360,2.03,0.12,0.1,11.4,755,0.03,0.05,0.4,38.6,3,0.009,0.007,0.004,0.52,0.05,36.7
"174",217,525014.8,7382620,200,"FIN","NE","PLAIN","LOWBR","MOSS","PISPR","BOREAL_FOREST",950704,"RPVM","HSSC",7,"TILL",38,"DRY",21,0.024,239,0.194,0.16,1.21,19.7,0.015,0.026,2570,0.072,0.21,0.75,5.1,242,0.053,3340,0.35,667,538,0.1,59.2,1.99,1060,3.94,0.71,0.1,12.5,813,0.042,0.05,0.4,199,5.61,0.038,0.075,0.022,1.61,0.05,32.5
"175",218,513394.5,7705885,240,"FIN","NW","PLAIN","CONCLOW","BLUEBERRY","BIRCH","FOREST_TUNDRA",950704,"JARKP","PSSC",20,"TILL",34,"DRY",15,0.026,308,0.639,1.16,0.55,22.9,0.015,0.01,2360,0.071,0.36,0.38,4.71,167,0.041,4630,0.35,886,282,0.04,55.3,4.91,1100,3.67,0.26,0.1,10.7,810,0.036,0.05,0.4,91,10.8,0.008,0.013,0.01,0.99,0.05,40.5
"176",219,598000,7430300,180,"RUS","FLAT","PLAIN","FLAT","MOSS","PIBI","BOREAL_FOREST",950811,"Smirnov","HSDC",52,"FLUVG",20,"DRY",15,0.029,478,0.148,0.06,1.06,12.1,0.015,0.022,2250,0.083,0.57,3.55,5.92,766,0.04,4650,0.35,1290,400,0.057,66.1,3.78,1330,2.43,0.47,0.1,22.8,737,0.026,0.1,0.4,357,6.9,0.052,0.037,0.019,2.49,0.2,24
"177",220,639150,7739500,110,"NOR","SW","LOWMO","CONVMED","EMPETRUM","BIRCH","FOREST_TUNDRA",950728,"CRTF","PSSC",20,"TILL",45,"MIX",14,0.047,235,0.562,2.2,1.91,23.8,0.015,0.03,3120,0.118,2.17,2.26,42.7,790,0.049,5250,0.35,1250,599,0.065,104,58.9,1320,4.33,1.49,0.9,7.82,1080,0.044,0.05,0.4,211,10.3,0.024,0.02,0.014,2.13,0.05,22.7
"178",221,405250,7817600,100,"NOR","S","SLOPE","CONVMED","SHRUBS","BIRCH","FOREST_TUNDRA",950711,"CRJHTF","HSSC",10,"TILL",40,"RAIN",7,0.021,73.8,0.065,0.2,1.77,14.3,0.015,0.002,2410,0.031,0.42,0.25,3.54,82.3,0.034,3760,0.35,1440,267,0.034,194,0.96,1400,1.08,0.09,0.1,6.42,773,0.015,0.05,0.4,62.4,12.7,0.009,0.008,0.007,0.45,0.05,18.9
"179",222,461765.6,7548800,250,"FIN","NW","FLAT","CONVLOW","BLUEBERRY","BIPI","FOREST_TUNDRA",950822,"JARR","HSSC",1,"FLUV",42,"MIX",14,0.018,106,0.092,0.5,0.56,9.4,0.015,0.007,2110,0.073,0.26,0.58,4.74,127,0.034,4180,0.35,1080,527,0.063,58.2,1.55,1370,1.93,0.13,0.2,17.1,716,0.029,0.05,0.4,91.4,6.06,0.01,0.013,0.008,0.82,0.05,33.5
"180",223,663863.4,7461718,310,"RUS","S","RIDGE","LOWBRLOW","MOSS","BIPISPR","BOREAL_FOREST",950627,"Semenov","HSSC",1,"TILL",60,"MIX",12,0.066,173,0.283,0.21,1.67,28.6,0.015,0.031,3020,0.113,0.56,0.62,10.2,264,0.042,4220,0.7,1420,725,0.133,32.3,8.6,1400,2.83,1.19,0.3,13.3,941,0.044,0.05,0.4,242,13.1,0.022,0.022,0.012,2.61,0.05,46.9
"181",226,514044.3,7661804,140,"FIN","W","FLAT","CONVLOW","","","",950717,"MLR","HSSC",20,"TILL",41,"DRY",19,0.024,149,0.2,0.17,1.36,17.3,0.015,0.01,2670,0.06,0.28,0.45,6.65,143,0.056,3130,0.35,794,611,0.07,25.2,4.52,1080,2.04,0.35,0.1,8.7,789,0.029,0.05,0.4,160,8.12,0.028,0.023,0.006,1.11,0.05,18.8
"182",227,570100,7621300,250,"RUS","NW","RIDGE","UPBRLOW","SHRUBS","PISPR","BOREAL_FOREST",950825,"Smirnov","HSSR",31,"TILL",37,"MIX",12,0.055,178,0.146,0.09,0.71,14.9,0.015,0.013,2070,0.303,0.27,0.42,6.86,110,0.071,4040,0.35,965,319,0.061,80.6,5.03,1070,1.84,0.4,0.1,9.62,688,0.028,0.05,0.4,144,6.66,0.011,0.028,0.005,0.98,0.05,30.5
"183",228,452569.4,7395764,180,"FIN","FLAT","FLAT","FLAT","MOSS","PINE","BOREAL_FOREST",950608,"JARPMA","HSSC",7,"TILL",48,"DRY",20,0.022,212,0.168,0.31,0.65,22,0.015,0.022,2560,0.122,0.16,1.43,4.89,219,0.09,3660,0.35,779,569,0.142,5,1.68,1010,5.97,2.77,0.1,15.9,818,0.046,0.05,0.4,232,4.11,0.007,0.055,0.017,2.24,0.05,32.8
"184",229,439974.6,7388717,115,"FIN","SW","PLAIN","CONVLOW","MOSS","","BOREAL_FOREST",950605,"JARPMLR","HSDR",7,"TILL",36,"DRY",15,0.011,205,0.148,0.05,0.92,26.5,0.015,0.011,3030,0.093,0.25,1.46,4.17,264,0.039,4310,0.35,1330,551,0.105,32,1.52,1340,4.08,1.24,0.1,32.5,836,0.037,0.05,0.4,297,8.56,0.055,0.046,0.017,1.86,0.05,34.5
"185",230,679989.6,7531623,220,"RUS","SW","PLAIN","LOWBRLOW","MOSS","BIPI","BOREAL_FOREST",950623,"Semenov","PSSC",1,"TILL",40,"DRY",16,0.033,156,0.178,0.15,0.99,23.3,0.015,0.052,3130,0.121,0.41,0.46,9.44,215,0.038,4530,0.35,1110,784,0.101,21.5,7.29,1410,4,1.37,0.2,19.3,888,0.032,0.05,0.4,197,13.3,0.016,0.018,0.009,2.19,0.05,49.3
"186",231,706352.6,7654820,200,"RUS","NW","RIDGE","CONCLOW","LICHEN","SPRBI","BOREAL_FOREST",950804,"Pavlov","HSSC",21,"TILL",48,"MIX",10,0.043,178,0.361,0.4,4.13,21.1,0.015,0.027,2890,0.093,0.95,0.88,18.9,255,0.063,4030,0.35,968,329,0.124,100,24.2,1290,2.32,1.32,0.3,5.68,919,0.052,0.05,0.4,366,14.9,0.02,0.019,0.009,2.63,0.05,25.4
"187",232,622774.5,7686116,180,"RUS","FLAT","PLAIN","TOPFLAT","LICHEN","BIRCH","SHRUB_TUNDRA",950821,"Smirnov","PSSC",21,"TILL",25,"DRY",8,0.079,456,1.22,0.8,0.78,15.6,0.015,0.057,1830,0.254,4.46,5.65,79.9,1630,0.051,5980,0.35,1050,425,0.107,102,119,1360,5.23,2.24,0.3,11.8,1270,0.061,0.2,0.4,488,5.08,0.047,0.034,0.022,3.06,0.2,42.1
"188",233,733318.3,7439896,100,"RUS","SW","RIDGE","LOWBRLOW","LICHEN","BISPRPI","BOREAL_FOREST",950714,"Semenov","HSDC",1,"FLUVG",60,"MIX",8,0.05,438,0.311,0.16,3.02,33.8,0.04,0.036,3820,0.21,0.87,0.77,16.3,433,0.046,4530,0.35,1130,215,0.185,162,13.5,1350,4.3,2.11,0.4,6.26,1050,0.065,0.05,0.4,426,17.7,0.024,0.035,0.011,4.7,0.05,41.4
"189",234,695358.5,7462357,170,"RUS","NW","LOWMO","LOWBRLOW","LICHEN","PINE","BOREAL_FOREST",950627,"Semenov","HSSC",1,"FLUVG",40,"MIX",13,0.039,353,0.23,0.16,3.95,39.8,0.015,0.037,6310,0.081,0.63,0.69,9.51,410,0.03,2860,2.1,1380,110,0.266,38.5,9.38,855,2.39,1.73,0.2,5.64,697,0.06,0.05,0.4,245,37.1,0.029,0.025,0.152,2.24,0.4,20.3
"190",235,494700,7788450,260,"NOR","SW","PLAIN","CONVLOW","EMPETRUM","BIRCH","DWARF_SHRUB_TUNDRA",950724,"JHGKTV","PSSC",10,"FLUVG",42,"MIX",10,0.005,111,0.077,0.2,0.96,35.5,0.015,0.002,3160,0.071,0.34,0.4,3.39,187,0.044,4670,0.35,1390,168,0.07,57.3,2.28,1000,2.46,0.28,0.1,8,687,0.021,0.05,0.4,137,16.9,0.006,0.006,0.005,0.87,0.05,25.2
"191",236,423789,7861272,42,"NOR","SE","SLOPE","CONCLOW","EMPETRUM","BIRCH","DWARF_SHRUB_TUNDRA",950717,"GKPCTF","PSSC",10,"TILL",80,"DRY",14,0.005,126,0.099,1,1.94,17.1,0.015,0.002,2810,0.078,0.16,0.36,3.1,151,0.061,4320,0.35,1770,126,0.078,288,1.09,941,3.07,0.18,0.1,4.05,726,0.025,0.05,0.4,206,18.4,0.019,0.008,0.012,0.92,0.05,15.6
"192",237,844526.9,7613843,170,"RUS","N","PLAIN","LOWBRMED","MOSS","BIRCH","FOREST_TUNDRA",950801,"Semenov","HSDC",20,"TILL",50,"DRY",20,0.029,178,0.206,0.41,2.67,11.5,0.015,0.012,2580,0.077,0.51,0.32,11,126,0.04,4510,0.9,1130,601,0.092,131,10.1,1460,1.53,1.36,0.3,13.7,844,0.029,0.05,0.4,178,11.7,0.052,0.01,0.023,1.27,0.05,35.2
"193",238,583515.9,7524261,255,"FIN","FLAT","FLAT","FLAT","MOSS","PIBI","BOREAL_FOREST",950815,"RPAV","HSDC",1,"TILL",52,"DRY",20,0.011,207,0.175,0.27,1.06,12.5,0.015,0.013,2220,0.078,0.26,0.48,4.9,127,0.048,3560,0.35,858,439,0.079,34.2,2.86,1040,2.81,0.33,0.1,15,731,0.024,0.05,0.4,197,7.47,0.015,0.029,0.007,1.27,0.05,44.9
"194",241,418400,7663900,450,"NOR","S","SLOPE","UPBRLOW","LICHEN","BIRCH","DWARF_SHRUB_TUNDRA",950716,"JHOJTV","PSSC",51,"TILL",38,"DRY",16,0.005,88.3,0.088,0.19,2.18,13.7,0.015,0.004,1890,0.058,0.23,0.22,2.85,66.7,0.044,4450,0.35,1040,461,0.034,69.1,1.73,1300,1.54,0.25,0.1,10.1,682,0.026,0.05,0.4,130,4.4,0.004,0.005,0.002,0.59,0.05,30.4
"195",243,579570,7800100,220,"NOR","","RIDGE","BRUPSTEE","MOSS","BIRCH","DWARF_SHRUB_TUNDRA",NA,"GKJHTV","PSDC",9,"TILL",23,"MIX",8,0.014,311,0.146,0.09,1.79,24.2,0.015,0.011,2330,0.081,0.44,0.52,5.03,322,0.065,4360,0.35,990,688,0.04,96.4,5.44,1130,3.13,0.36,0.1,3.91,744,0.031,0.05,0.4,297,10,0.03,0.012,0.015,1.21,0.05,36.6
"196",244,563624,7579588,230,"FIN","SW","PLAIN","CONVLOW","LICHEN","PIBISPR","BOREAL_FOREST",950816,"MLRJARR","HSSC",31,"TILL&SAP",41,"DRY",15,0.026,117,0.169,0.18,1.41,14.6,0.015,0.014,2820,0.105,0.27,0.43,5.65,128,0.041,3400,0.35,897,297,0.084,39.1,3.39,642,3.03,0.3,0.1,5.35,789,0.033,0.05,0.4,278,15.6,0.015,0.034,0.007,1.13,0.05,25.4
"197",245,561075.1,7522261,300,"FIN","NW","PLAIN","CONCLOW","","","",950814,"RPAV","HSSC",1,"TILL",44,"DRY",20,0.022,203,0.152,0.15,1.97,21.3,0.015,0.014,2740,0.083,0.27,0.6,5.97,145,0.05,3980,0.35,892,1020,0.086,27.9,2.43,1100,3.5,0.35,0.1,23.2,964,0.032,0.05,0.4,197,10.8,0.026,0.35,0.012,1.4,0.05,52.3
"198",246,796396.9,7549391,260,"RUS","W","RIDGE","TOP","","","",950726,"Pavlov","PSSC",20,"TILLSAP",33,"DRY",16,0.133,558,0.344,1.17,1.05,26.1,0.015,0.051,2690,0.222,1.57,0.78,46.7,435,0.055,4520,1.7,710,296,0.186,153,40.5,1070,3.89,6.93,1,19.5,846,0.069,0.05,0.4,270,52.7,0.049,0.029,0.034,4.4,0.3,23.7
"199",247,695642.8,7700414,190,"RUS","NE","RIDGE","TOP","LICHEN","BIRCH","DWARF_SHRUB_TUNDRA",950825,"Semenov","HSSC",21,"TILLSAP",NA,"MIX",10,0.034,179,0.276,0.65,2.84,11.4,0.015,0.016,2160,0.081,1.26,1.67,28.2,521,0.046,3780,0.35,1210,108,0.079,390,42.5,1140,2.68,1.12,0.2,4.74,890,0.073,0.05,0.4,224,7.71,0.029,0.013,0.009,2.55,0.05,25.2
"200",248,411950,7833100,70,"NOR","W","LOWMO","CONVMED","MOSS","BIRCH","FOREST_TUNDRA",950714,"CRGKPCTF","HSSC",10,"BEDR",39,"DRY",12,0.011,184,0.067,0.51,2.2,15.8,0.015,0.002,2840,0.032,0.16,0.36,3.11,219,0.05,3260,0.35,1330,232,0.048,180,1.14,1060,1.69,0.23,0.1,5.69,685,0.022,0.05,0.4,175,15.6,0.054,0.012,0.018,0.71,0.05,14.3
"201",249,445372.3,7507867,245,"FIN","SW","PLAIN","CONCLOW","MOSS","PIBISPR","BOREAL_FOREST",950719,"VGMARS","HSSR",51,"TILL",45,"MIX",15,0.032,196,0.16,0.18,0.72,12.6,0.015,0.009,2170,0.057,0.23,0.72,4.31,276,0.034,3640,0.35,747,900,0.077,12.2,1.37,1130,3.09,0.24,0.1,11,727,0.043,0.1,0.4,202,4.26,0.019,0.033,0.009,1.49,0.05,31.8
"202",250,800872.4,7685617,140,"RUS","E","RIDGE","TOP","LICHEN","BIRCH","DWARF_SHRUB_TUNDRA",950727,"Semenov","PSSC",4,"TILLSAP",25,"DRY",18,0.046,229,0.187,0.22,1.83,37.9,0.015,0.023,3100,0.056,0.55,0.89,13.6,266,0.048,4430,0.35,1280,465,0.072,114,11.4,1460,3.92,2.09,0.3,3.32,864,0.051,0.05,0.4,209,9.75,0.025,0.007,0.019,2.54,0.05,33.6
"203",251,787972.1,7427886,40,"RUS","FLAT","RIDGE","FLATRUG","MOSS","SPRBI","BOREAL_FOREST",950714,"Semenov","HSDC",32,"TILLSAP",25,"MIX",8,0.041,289,0.225,0.19,2.38,27.8,0.015,0.029,2980,0.083,0.41,0.68,10.3,293,0.059,4190,0.35,1170,335,0.134,191,7.57,1370,3.6,1.46,0.3,15.8,962,0.058,0.05,0.4,238,9.41,0.033,0.046,0.015,2.68,0.05,36.9
"204",252,789595.4,7673445,230,"RUS","E","RIDGE","CONVLOW","LICHEN","BIRCH","DWARF_SHRUB_TUNDRA",950727,"Semenov","PSSC",4,"TILL",45,"DRY",18,0.064,234,0.555,0.42,1.22,25.2,0.015,0.028,2560,0.083,0.71,0.84,15.9,326,0.047,5510,0.35,1340,205,0.088,168,15.6,1580,5.03,2.28,0.3,6.41,966,0.055,0.1,0.4,299,12.7,0.034,0.015,0.021,4.02,0.1,29.3
"205",253,398532,7661237,380,"NOR","FLAT","FLAT","FLAT","LICHEN","BIRCH","FOREST_TUNDRA",950717,"CROJTV","PSDC",1,"TILL",41,"DRY",20,0.018,183,0.143,0.11,0.76,21.5,0.015,0.012,2520,0.084,0.21,0.48,3.52,84.6,0.044,4030,0.35,921,560,0.038,27.9,2.03,1210,1.98,0.26,0.1,12,829,0.033,0.05,0.4,133,4.42,0.009,0.008,0.005,0.66,0.05,46.3
"206",256,458716.8,7707984,320,"FIN","SE","PLAIN","CONCLOW","MOSS","BIRCH","",950810,"JARR","HSSC",31,"TILL",50,"DRY",12,0.013,52.5,0.069,0.3,1.03,13.1,0.015,0.006,2190,0.031,0.18,0.29,3.91,50,0.028,4510,0.35,1230,555,0.039,46.5,1.49,1560,0.96,0.21,0.1,13.8,722,0.016,0.05,0.4,75.7,4.42,0.007,0.002,0.002,0.29,0.05,21.9
"207",258,811453.3,7543515,370,"RUS","NW","HIMO","CONCLOW","LICHEN","BIRCH","DWARF_SHRUB_TUNDRA",950730,"Semenov","HSDC",83,"TILLSAP",40,"DRY",16,0.119,1320,0.329,0.25,1.05,28.5,0.18,0.044,2260,0.111,0.75,0.91,19.7,472,0.031,4390,3.9,770,412,0.2,102,20.9,1360,5.36,3.57,0.9,16.3,856,0.093,0.05,0.4,427,65.9,0.054,0.027,0.111,11.7,0.6,26.6
